Date,Broj redova,Polarity,Rezultat
2022-07-04 17:00:00,8,-0.0187375,0
2022-07-04 16:00:00,14,-0.042046428571428575,0
2022-07-04 15:00:00,14,0.11614285714285714,0
2022-07-04 14:00:00,4,-0.009250000000000008,0
2022-07-04 13:00:00,8,0.110075,0
2022-07-04 12:00:00,9,0.24605555555555556,0
2022-07-04 11:00:00,10,0.08786999999999999,0
2022-07-04 10:00:00,7,0.16884285714285716,0
2022-07-04 09:00:00,9,-0.055877777777777776,0
2022-07-04 08:00:00,7,0.1136,0
2022-07-04 07:00:00,5,0.06822,0
2022-07-04 06:00:00,9,0.10821666666666667,0
2022-07-04 05:00:00,4,0.1975,0
2022-07-04 04:00:00,4,0.112375,0
2022-07-04 03:00:00,5,0.34287,1
2022-07-04 02:00:00,0,0.0,0
2022-07-04 01:00:00,7,0.045457142857142856,0
2022-07-04 00:00:00,7,0.20977857142857143,0
2022-07-03 23:00:00,8,-0.015275000000000007,0
2022-07-03 22:00:00,9,-0.007111111111111108,0
2022-07-03 21:00:00,10,0.212135,0
2022-07-03 20:00:00,13,0.13734615384615384,0
2022-07-03 19:00:00,21,0.10262142857142857,0
2022-07-03 18:00:00,6,0.11975,0
2022-07-03 17:00:00,9,0.04403333333333333,0
2022-07-03 16:00:00,16,0.21914375,0
2022-07-03 15:00:00,8,-0.07148750000000001,0
2022-07-03 14:00:00,9,0.04660555555555556,0
2022-07-03 13:00:00,8,0.047850000000000004,0
2022-07-03 12:00:00,3,-0.22198333333333334,0
2022-07-03 11:00:00,5,-0.08607000000000001,0
2022-07-03 10:00:00,8,0.06411875,0
2022-07-03 09:00:00,2,0.215225,0
2022-07-03 08:00:00,3,0.08531666666666667,0
2022-07-03 07:00:00,9,0.16243888888888888,0
2022-07-03 06:00:00,7,0.27595714285714285,1
2022-07-03 05:00:00,7,0.11109285714285715,0
2022-07-03 04:00:00,5,0.02962,0
2022-07-03 03:00:00,5,0.31479,1
2022-07-03 02:00:00,9,0.0868,0
2022-07-03 01:00:00,3,0.09866666666666667,0
2022-07-03 00:00:00,9,0.04371666666666666,0
2022-07-02 23:00:00,3,0.09523333333333332,0
2022-07-02 22:00:00,6,0.10491666666666667,0
2022-07-02 21:00:00,11,0.11117727272727274,0
2022-07-02 20:00:00,6,0.00048333333333332634,0
2022-07-02 19:00:00,6,0.28234166666666666,1
2022-07-02 18:00:00,6,0.06449166666666667,0
2022-07-02 17:00:00,11,0.07139545454545454,0
2022-07-02 16:00:00,13,0.21538461538461537,0
2022-07-02 15:00:00,16,0.20607187500000002,0
2022-07-02 14:00:00,6,0.15808333333333333,0
2022-07-02 13:00:00,8,0.17845624999999998,0
2022-07-02 12:00:00,4,0.0,0
2022-07-02 11:00:00,7,-0.08046428571428572,0
2022-07-02 10:00:00,5,0.09685,0
2022-07-02 09:00:00,10,0.014520000000000003,0
2022-07-02 08:00:00,5,0.36243000000000003,1
2022-07-02 07:00:00,4,-0.03597499999999999,0
2022-07-02 06:00:00,8,0.158675,0
2022-07-02 05:00:00,8,0.0553125,0
2022-07-02 04:00:00,7,0.38245,1
2022-07-02 03:00:00,2,0.10115,0
2022-07-02 02:00:00,12,-0.056516666666666666,0
2022-07-02 01:00:00,6,0.4112166666666667,1
2022-07-02 00:00:00,5,0.23424999999999999,0
2022-07-01 23:00:00,6,0.09535,0
2022-07-01 22:00:00,7,0.3076357142857143,1
2022-07-01 21:00:00,5,-0.05362,0
2022-07-01 20:00:00,4,-0.04772500000000002,0
2022-07-01 19:00:00,10,-0.0007850000000000107,0
2022-07-01 18:00:00,14,-0.02383214285714285,0
2022-07-01 17:00:00,13,-0.07321153846153847,0
2022-07-01 16:00:00,8,-0.004581250000000002,0
2022-07-01 15:00:00,13,0.06437692307692307,0
2022-07-01 14:00:00,11,0.12165909090909091,0
2022-07-01 13:00:00,10,0.118365,0
2022-07-01 12:00:00,10,0.208615,0
2022-07-01 11:00:00,9,0.11296666666666667,0
2022-07-01 10:00:00,7,0.09851428571428571,0
2022-07-01 09:00:00,13,0.01905384615384616,0
2022-07-01 08:00:00,12,0.027237500000000008,0
2022-07-01 07:00:00,5,0.08847000000000001,0
2022-07-01 06:00:00,7,0.12335714285714285,0
2022-07-01 05:00:00,5,-0.052659999999999985,0
2022-07-01 04:00:00,3,0.13396666666666665,0
2022-07-01 03:00:00,9,0.1360222222222222,0
2022-07-01 02:00:00,7,0.22046428571428572,0
2022-07-01 01:00:00,8,0.16088750000000002,0
2022-07-01 00:00:00,14,-0.03187142857142857,0
2022-06-30 23:00:00,5,-0.04314,0
2022-06-30 22:00:00,11,0.08820454545454545,0
2022-06-30 21:00:00,8,0.0388875,0
2022-06-30 20:00:00,9,0.3094166666666667,1
2022-06-30 19:00:00,10,0.06775,0
2022-06-30 18:00:00,10,0.09397,0
2022-06-30 17:00:00,10,0.09536999999999998,0
2022-06-30 16:00:00,14,0.055917857142857144,0
2022-06-30 15:00:00,25,0.043107999999999994,0
2022-06-30 14:00:00,20,-0.0366725,0
2022-06-30 13:00:00,11,0.14842272727272726,0
2022-06-30 12:00:00,9,-0.030388888888888892,0
2022-06-30 11:00:00,3,0.0636,0
2022-06-30 10:00:00,15,-0.11592666666666666,0
2022-06-30 09:00:00,10,0.181375,0
2022-06-30 08:00:00,18,-0.010788888888888883,0
2022-06-30 07:00:00,6,0.40810833333333335,1
2022-06-30 06:00:00,10,0.28449,1
2022-06-30 05:00:00,2,0.18769999999999998,0
2022-06-30 04:00:00,6,0.29556666666666664,1
2022-06-30 03:00:00,7,-0.016671428571428577,0
2022-06-30 02:00:00,8,0.042593750000000014,0
2022-06-30 01:00:00,4,0.016899999999999988,0
2022-06-30 00:00:00,4,0.0,0
2022-06-29 23:00:00,8,0.21933125,0
2022-06-29 22:00:00,10,-0.10808,0
2022-06-29 21:00:00,9,0.1332,0
2022-06-29 20:00:00,8,0.2569875,0
2022-06-29 19:00:00,8,0.2249,0
2022-06-29 18:00:00,11,-0.0696590909090909,0
2022-06-29 17:00:00,12,0.08129166666666666,0
2022-06-29 16:00:00,4,0.0,0
2022-06-29 15:00:00,11,-0.018886363636363628,0
2022-06-29 14:00:00,18,0.04922499999999999,0
2022-06-29 13:00:00,5,0.0,0
2022-06-29 12:00:00,8,0.030875000000000003,0
2022-06-29 11:00:00,11,0.3732090909090909,1
2022-06-29 10:00:00,7,0.38994285714285715,1
2022-06-29 09:00:00,3,0.29616666666666663,1
2022-06-29 08:00:00,9,-0.11851111111111111,0
2022-06-29 07:00:00,7,0.21209999999999998,0
2022-06-29 06:00:00,5,0.1915,0
2022-06-29 05:00:00,3,0.39043333333333335,1
2022-06-29 04:00:00,5,0.18347999999999998,0
2022-06-29 03:00:00,4,0.2317,0
2022-06-29 02:00:00,2,0.37850000000000006,1
2022-06-29 01:00:00,5,0.26501,0
2022-06-29 00:00:00,7,0.35110714285714284,1
2022-06-28 23:00:00,6,0.12031666666666667,0
2022-06-28 22:00:00,10,0.118815,0
2022-06-28 21:00:00,3,0.060200000000000004,0
2022-06-28 20:00:00,8,0.16078125000000001,0
2022-06-28 19:00:00,13,0.20563846153846155,0
2022-06-28 18:00:00,14,0.08479285714285714,0
2022-06-28 17:00:00,12,0.033566666666666675,0
2022-06-28 16:00:00,8,-0.038337500000000004,0
2022-06-28 15:00:00,15,0.07178333333333334,0
2022-06-28 14:00:00,12,0.1992375,0
2022-06-28 13:00:00,10,0.14102,0
2022-06-28 12:00:00,9,0.07608888888888887,0
2022-06-28 11:00:00,4,-0.24007499999999998,0
2022-06-28 10:00:00,8,0.0483125,0
2022-06-28 09:00:00,6,0.22050833333333333,0
2022-06-28 08:00:00,11,0.1756909090909091,0
2022-06-28 07:00:00,8,-0.1146375,0
2022-06-28 06:00:00,7,0.05202142857142858,0
2022-06-28 05:00:00,4,0.3315,1
2022-06-28 04:00:00,7,0.11743571428571428,0
2022-06-28 03:00:00,4,-0.08086249999999999,0
2022-06-28 02:00:00,5,0.40318,1
2022-06-28 01:00:00,6,-0.010708333333333327,0
2022-06-28 00:00:00,6,0.03506666666666666,0
2022-06-27 23:00:00,7,0.21934285714285714,0
2022-06-27 22:00:00,3,0.40165,1
2022-06-27 21:00:00,9,-0.013638888888888891,0
2022-06-27 20:00:00,10,0.08322,0
2022-06-27 19:00:00,9,0.06454444444444445,0
2022-06-27 18:00:00,3,0.0,0
2022-06-27 17:00:00,15,0.19977666666666666,0
2022-06-27 16:00:00,11,0.09267272727272727,0
2022-06-27 15:00:00,14,0.05987142857142858,0
2022-06-27 14:00:00,8,0.08435000000000001,0
2022-06-27 13:00:00,7,0.08462857142857143,0
2022-06-27 12:00:00,5,0.47558,1
2022-06-27 11:00:00,5,0.005380000000000007,0
2022-06-27 10:00:00,9,-0.04619999999999999,0
2022-06-27 09:00:00,10,0.20367500000000002,0
2022-06-27 08:00:00,6,0.05620000000000001,0
2022-06-27 07:00:00,5,0.46023,1
2022-06-27 06:00:00,6,-0.016416666666666663,0
2022-06-27 05:00:00,7,0.0675,0
2022-06-27 04:00:00,4,-0.131675,0
2022-06-27 03:00:00,7,0.07574285714285715,0
2022-06-27 02:00:00,4,0.1932,0
2022-06-27 01:00:00,3,-0.04983333333333334,0
2022-06-27 00:00:00,6,0.16295,0
2022-06-26 23:00:00,6,0.12325833333333333,0
2022-06-26 22:00:00,9,0.1709055555555556,0
2022-06-26 21:00:00,3,0.15793333333333334,0
2022-06-26 20:00:00,9,0.08962222222222221,0
2022-06-26 19:00:00,8,0.01925000000000001,0
2022-06-26 18:00:00,7,0.02619285714285715,0
2022-06-26 17:00:00,11,0.03869090909090909,0
2022-06-26 16:00:00,12,0.04243333333333334,0
2022-06-26 15:00:00,10,0.041675,0
2022-06-26 14:00:00,8,0.09695000000000001,0
2022-06-26 13:00:00,7,0.20447142857142858,0
2022-06-26 12:00:00,5,0.024660000000000005,0
2022-06-26 11:00:00,5,0.1837,0
2022-06-26 10:00:00,2,-0.016375000000000015,0
2022-06-26 09:00:00,5,0.2042,0
2022-06-26 08:00:00,2,0.1816,0
2022-06-26 07:00:00,7,0.2564,0
2022-06-26 06:00:00,6,0.24704166666666666,0
2022-06-26 05:00:00,3,0.23963333333333334,0
2022-06-26 04:00:00,3,0.4613,1
2022-06-26 03:00:00,7,0.1477857142857143,0
